highway_flow.7 | Accel=-5.4966076353990125 | Severity=5.4966076353990125 | Time=65.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.16 | Accel=-9.0 | Severity=9.0 | Time=120.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.16 | Accel=-6.9145428146138475 | Severity=6.9145428146138475 | Time=121.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.7 | Accel=-5.915339823019689 | Severity=5.915339823019689 | Time=133.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.19 | Accel=-9.0 | Severity=9.0 | Time=140.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.21 | Accel=-5.099339077962846 | Severity=5.099339077962846 | Time=149.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.8 | Accel=-7.030555998602887 | Severity=7.030555998602887 | Time=151.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.21 | Accel=-9.0 | Severity=9.0 | Time=152.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.36 | Accel=-8.30115159351471 | Severity=8.30115159351471 | Time=244.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.36 | Accel=-4.500000000000005 | Severity=4.500000000000005 | Time=245.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.37 | Accel=-9.0 | Severity=9.0 | Time=250.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.38 | Accel=-9.0 | Severity=9.0 | Time=253.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.39 | Accel=-9.0 | Severity=9.0 | Time=260.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.51 | Accel=-4.500333333333334 | Severity=4.500333333333334 | Time=332.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.51 | Accel=-4.500499999999999 | Severity=4.500499999999999 | Time=333.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.51 | Accel=-4.5009999999999994 | Severity=4.5009999999999994 | Time=334.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.54 | Accel=-9.0 | Severity=9.0 | Time=349.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.54 | Accel=-8.758859480327612 | Severity=8.758859480327612 | Time=350.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.64 | Accel=-9.0 | Severity=9.0 | Time=408.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.64 | Accel=-9.0 | Severity=9.0 | Time=409.0 | Lane=:merge_point_1_1 | Reason=Emergency braking
highway_flow.71 | Accel=-9.0 | Severity=9.0 | Time=451.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.71 | Accel=-9.0 | Severity=9.0 | Time=452.0 | Lane=:merge_point_1_1 | Reason=Emergency braking
highway_flow.79 | Accel=-7.310643636965942 | Severity=7.310643636965942 | Time=497.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.90 | Accel=-9.0 | Severity=9.0 | Time=565.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.105 | Accel=-5.159569991011178 | Severity=5.159569991011178 | Time=653.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.105 | Accel=-4.500000000000005 | Severity=4.500000000000005 | Time=655.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.105 | Accel=-4.500000000000007 | Severity=4.500000000000007 | Time=656.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.105 | Accel=-4.500000000000013 | Severity=4.500000000000013 | Time=657.0 | Lane=highway_1 | Reason=Emergency braking
